election_date,election_level,election_type,status,clerk_description,have_file,filename_original,filename_standardized,file_format,has_been_processed,notes
2019-09-17,municipal,preliminary,unknown,September 17 2019 City Preliminary,NO,,,,,MISSING - Need to download
2018-12-11,municipal,special,unknown,December 11 2018 Special Election,NO,,,,,MISSING - Need to download
2018-11-06,state,general,unknown,November 6 2018 State Election,NO,,,,,MISSING - Need to download
2018-09-04,state,primary,unknown,September 4 2018 State Primary,NO,,,,,MISSING - Need to download
2017-11-07,municipal,general,official,November 7 2017 City Election,YES,election_general_2017_framingham_raw.pdf,2017-11-07_municipal_general_official_framingham.pdf,pdf,FALSE,
2017-11-07,municipal,general,official,November 7 2017 City Election,YES,election_general_2017_framingham_raw.xlsx,2017-11-07_municipal_general_official_framingham.xlsx,xlsx,TRUE,
2017-11-07,municipal,charter,official,November 7 2017 Charter Vote,YES,election_charter_2017_framingham_raw.xlsx,2017-11-07_municipal_charter_official_framingham.xlsx,xlsx,TRUE,Charter vote on same day as general
2017-09-26,municipal,preliminary,unknown,September 26 2017 City Preliminary,PARTIAL,election_preliminary_2017_framingham_raw.pdf,2017-09-26_municipal_preliminary_official_framingham.pdf,pdf,FALSE,CHECK DATE - file may be from different date
2017-09-26,municipal,preliminary,unknown,September 26 2017 City Preliminary,PARTIAL,election_preliminary_2017_framingham_raw.xlsx,2017-09-26_municipal_preliminary_official_framingham.xlsx,xlsx,TRUE,CHECK DATE - file may be from different date
2017-04-04,municipal,general,official,April 4 2017 Town Election,YES,election_town_2017_framingham_raw.pdf,2017-04-04_municipal_general_official_framingham.pdf,pdf,FALSE,Town election (pre-city)
2016-11-08,state,general,unknown,November 8 2016 State Election,NO,,,,,MISSING - Need to download
2016-09-08,state,primary,unknown,September 8 2016 State Primary,NO,,,,,MISSING - Need to download
2016-03-29,municipal,general,unknown,March 29 2016 Town Election,PARTIAL,pre-city/OfficialResultsLocal2016.pdf,2016-03-29_municipal_general_official_framingham.pdf,pdf,FALSE,CHECK DATE - file says April 5 but clerk says March 29
2016-03-29,municipal,general,unknown,March 29 2016 Town Election,PARTIAL,pre-city/OfficialResultsLocal2016.xlsx,2016-03-29_municipal_general_official_framingham.xlsx,xlsx,TRUE,CHECK DATE - file says April 5 but clerk says March 29
2016-03-01,federal,primary,official,March 1 2016 Presidential Primary,YES,pre-city/FramPresPrimary2016.pdf,2016-03-01_federal_primary_official_framingham.pdf,pdf,FALSE,Presidential primary
2016-03-01,federal,primary,official,March 1 2016 Presidential Primary,YES,pre-city/FramPresPrimary2016.xlsx,2016-03-01_federal_primary_official_framingham.xlsx,xlsx,TRUE,Presidential primary
