CardNumber,ParcelID,StreetNumber,StreetName,NumofUnits,NumofRooms,NumofBedrooms,ExtType,YearBlt,CurrentBuildingValue,CurrentYardItems,CurrentLandValue,CurrentAcres,FinishedArea,GrossArea,CurrentTotal,SaleDate,SalePrice,LegalReference,Amount,Location 1
1,128-86-3802-000,69,FRANKLIN ST,NULL,NULL,NULL,NULL,NULL,0,10100,111900,0.11178,0,0,122000,08/01/2014,3360000,64014-195,,"69 FRANKLIN ST
FRAMINGHAM, MA
(42.279175, -71.418295)"
1,135-95-4608-000,5,TAYLOR ST,2,13,6,MULTI-FAM,1890,183200,0,102800,0.11478,2590,4043,286000,04/01/1987,0,18030-528,15400,"5 TAYLOR ST
FRAMINGHAM, MA
(42.276375, -71.414249)"
1,111-50-6594-106,475,FRANKLIN ST,1,2,0,CONDO-OFC,1967,65200,0,0,0,366,366,65200,12/04/2009,100,53945-219,2000,"475 FRANKLIN ST
FRAMINGHAM, MA
(42.289267, -71.428213)"
1,120-69-5764-000,20,OTIS ST,1,7,3,COLONIAL,1920,133300,14000,154700,0.25179,1542,3246,302000,08/01/1996,140000,26550-0239,,"20 OTIS ST
FRAMINGHAM, MA
(42.28711, -71.424506)"
6,101-63-9131-000,37,GEORGETOWN DR,207,NULL,NULL,APRTMNT-GN,1964,20187900,403500,3161700,10.107989999999999,206010,206010,23753100,08/29/2002,19305000,225425,,"37 GEORGETOWN DR
FRAMINGHAM, MA
(42.296394, -71.423274)"
1,140-73-6729-000,132,CEDAR ST,1,10,4,CONVENT`NL,1887,144600,31100,107000,0.3318,1922,3930,282700,07/25/1995,125000,25510-271,700,"132 CEDAR ST
FRAMINGHAM, MA
(42.270925, -71.420961)"
1,120-69-9485-000,302,UNION AVE,2,12,3,MULTI-TNHS,1870,207300,5200,153200,0.19426,2448,4242,365700,09/26/2007,440000,50149-302,4000,"302 UNION AVE
FRAMINGHAM, MA
(42.286709, -71.422862)"
1,128-96-5572-000,135,KENDALL ST,3,10,5,MULTI-FAM,1917,41600,0,116600,0.08965,2424,3977,158200,11/30/2012,160100,60617-558,4900,"135 KENDALL ST
FRAMINGHAM, MA
(42.278736, -71.413628)"
1,135-84-0471-000,14,AVON ST,2,12,4,MULTI-FAM,1887,201500,0,104500,0.20292,3040,5853,306000,12/30/2014,385000,64732-313,3000,"14 AVON ST
FRAMINGHAM, MA
(42.272732, -71.4188)"
1,111-61-2403-000,31,BUCKMINSTER ST,1,6,3,COLONIAL,1933,109100,7800,151700,0.13774,1560,2914,268600,08/27/2015,420000,65986-301,36500,"31 BUCKMINSTER ST
FRAMINGHAM, MA
(42.291829, -71.425788)"
1,101-63-9545-000,85,MAIN ST,0,224,96,APRTMNT-GN,1965,5451900,0,425300,1.15149,12654,13614,5877200,08/29/2002,8019000,36257-445,7140,"85 MAIN ST
FRAMINGHAM, MA
(42.298032, -71.423779)"
1,135-85-4389-000,73,HOLLIS ST,0,NULL,NULL,APRTMNT-GN,1902,135900,0,133300,0.26074,5274,6379,269200,12/01/1986,625000,17639-511,17635,"73 HOLLIS ST
FRAMINGHAM, MA
(42.275222, -71.417271)"
1,111-61-7870-000,141,WALNUT ST,2,8,4,MULTI-TNHS,1981,195000,1000,153600,0.21058,1920,3156,349600,05/05/2003,394000,39059-198,,"141 WALNUT ST
FRAMINGHAM, MA
(42.293509, -71.42395)"
1,111-60-5165-002,364,UNION AVE,1,5,2,LOW RISE,1930,124700,0,0,0,800,896,124700,02/19/1999,80000,29815-69,,"364 UNION AVE
FRAMINGHAM, MA
(42.288679, -71.424357)"
1,111-61-7055-000,77,WALNUT ST,1,6,2,RANCH,1959,106200,0,156100,0.30762,1288,2842,262300,09/16/1974,1,12700-240,,"77 WALNUT ST
FRAMINGHAM, MA
(42.290927, -71.424247)"
1,128-87-6060-000,150,CONCORD ST,0,NULL,NULL,GOVT BLDG,1926,2984000,0,264000,1.10939,37827,37827,3248000,01/16/1926,1,81-385,15000,"150 CONCORD ST
FRAMINGHAM, MA
(42.279512, -71.416565)"
1,135-85-3003-006,141,HOLLIS ST,1,3,0,DECKER,1907,42100,0,0,0,380,380,42100,07/19/2010,1,55005-416,,"141 HOLLIS ST
FRAMINGHAM, MA
(42.274416, -71.417886)"
1,128-86-9335-000,29,KENDALL ST,NULL,NULL,NULL,NULL,NULL,0,48500,170500,0.51915,0,0,219000,05/25/1999,10,30212-235,,"29 KENDALL ST
FRAMINGHAM, MA
(42.278425, -71.415803)"
1,141-83-9717-000,39,EAMES ST,1,7,3,CONVENT`NL,1887,123800,7300,102600,0.10193,1802,2856,233700,07/13/2007,1,49770-11,3000,"39 EAMES ST
FRAMINGHAM, MA
(42.271151, -71.415803)"
1,120-79-0284-000,284,UNION AVE,0,NULL,NULL,OFFICE,1880,214400,0,157900,0.30301,2796,4547,372300,04/22/1999,270000,30079-176,1000,"284 UNION AVE
FRAMINGHAM, MA
(42.28617, -71.422452)"
1,134-74-1825-000,29,WAVERLEY CT,2,10,4,MULTI-TNHS,1902,132800,0,102800,0.11478,1936,2902,235600,09/22/2003,260000,40968-40,3500,"29 WAVERLEY CT
FRAMINGHAM, MA
(42.274223, -71.422457)"
1,111-60-2257-000,8,DAY HILL RD,1,5,3,RANCH,1956,152200,0,152400,0.16559,1134,2420,304600,08/24/2011,245000,57339-579,,"8 DAY HILL RD
FRAMINGHAM, MA
(42.28894, -71.425583)"
1,111-60-8860-000,11,CLOVELLY LN,1,5,1,RANCH,1938,71300,0,152600,0.1716,720,1192,223900,08/01/1988,125450,19299-024,,"11 CLOVELLY LN
FRAMINGHAM, MA
(42.290487, -71.423539)"
1,135-85-3003-003,141,HOLLIS ST,1,3,0,DECKER,1907,42300,0,0,0,385,385,42300,07/19/2010,1,55005-416,,"141 HOLLIS ST
FRAMINGHAM, MA
(42.274416, -71.417886)"
2,135-85-9846-000,390,WAVERLEY ST,0,NULL,NULL,WAREHOUSE,1900,786634.81350000005,0,153411.81890000001,0.387,16476,19474,940046.6324,01/05/2007,1050000,48791-417,,"390 WAVERLEY ST
FRAMINGHAM, MA
(42.276977, -71.415885)"
1,135-84-6962-000,63,ARLINGTON ST,NULL,NULL,NULL,NULL,NULL,0,0,212500,0.935,0,0,212500,04/09/1929,1,5346-280,,"63 ARLINGTON ST
FRAMINGHAM, MA
(42.273406, -71.416173)"
1,135-84-8777-000,67,ARLINGTON ST,NULL,NULL,NULL,NULL,NULL,0,0,101100,0.02489,0,0,101100,08/23/1918,1,1608-543,,"67 ARLINGTON ST
FRAMINGHAM, MA
(42.273572, -71.415979)"
1,134-75-8154-000,53,CLAFLIN ST,1,7,3,CONVENT`NL,1907,144200,5400,102300,0.08781,1635,3328,251900,01/15/2016,1,66684-209,21380,"53 CLAFLIN ST
FRAMINGHAM, MA
(42.274538, -71.419902)"
1,121-88-8551-000,37,ELIZABETH CIR,1,8,4,RANCH,1956,182700,0,162200,0.5407,2522,6543,344900,06/12/2015,100,65526-285,,"37 ELIZABETH CIR
FRAMINGHAM, MA
(42.283902, -71.415779)"
1,134-74-9454-000,46,HAYES ST,3,10,5,MULTI-FAM,1887,194600,0,104300,0.19284,3119,5264,298900,08/13/2010,194000,55168-116,30000,"46 HAYES ST
FRAMINGHAM, MA
(42.272896, -71.419787)"
1,141-83-9982-000,36,EAMES ST,2,9,5,MULTI-FAM,1912,164400,1500,102800,0.11295,2535,4336,268700,09/14/2015,320000,66064-229,,"36 EAMES ST
FRAMINGHAM, MA
(42.271166, -71.415826)"
1,128-87-5169-000,79,UNION AVE,NULL,NULL,NULL,NULL,NULL,0,0,148700,0.437,0,0,148700,01/19/1993,325000,22837-0066,,"79 UNION AVE
FRAMINGHAM, MA
(42.280036, -71.417636)"
1,120-69-3946-000,18,ARCH ST,1,10,4,CAPE,1928,234000,6700,155400,0.28017,2754,5542,396100,08/31/2006,450000,48094-445,5208,"18 ARCH ST
FRAMINGHAM, MA
(42.287722, -71.425344)"
1,135-95-4153-000,154,IRVING ST,3,15,8,MULTI-FAM,1900,179200,15100,103700,0.161,3383.5,5504,298000,08/03/1983,1,15148-0530,0,"154 IRVING ST
FRAMINGHAM, MA
(42.274507, -71.41404)"
1,135-84-6513-000,93,ARLINGTON ST,2,10,5,MULTI-FAM,1907,212600,15100,106500,0.30781,2464,5110,334200,09/14/2006,100,48160-15,10500,"93 ARLINGTON ST
FRAMINGHAM, MA
(42.272811, -71.416753)"
1,134-74-6185-000,4,CEDAR PL,1,4,2,CONVENT`NL,1902,78400,0,102500,0.09656,1004,1690,180900,07/19/2007,210000,49806-281,,"4 CEDAR PL
FRAMINGHAM, MA
(42.272056, -71.420762)"
1,120-79-1093-000,264,UNION AVE,1,5,2,MIXED USE,1860,208400,0,156200,0.303,3173.5,6101,364600,08/14/2005,540816,45378-233,6055,"264 UNION AVE
FRAMINGHAM, MA
(42.285622, -71.422034)"
1,120-78-3221-000,9,BREWSTER RD,0,4,2,MIXED USE,1924,84900,1500,149500,0.14,1615.5,2478,235900,11/05/1999,210000,30841-502,12340,"9 BREWSTER RD
FRAMINGHAM, MA
(42.283332, -71.421887)"
1,135-85-3542-000,462,WAVERLEY ST,NULL,NULL,NULL,NULL,NULL,0,0,163000,0.93748,0,0,163000,08/23/1970,1,13770-305,,"462 WAVERLEY ST
FRAMINGHAM, MA
(42.276348, -71.418189)"
1,135-84-9495-000,15,PRATT ST,2,10,4,MULTI-FAM,1945,180100,13000,104500,0.20053,2409,5305,297600,07/21/1965,1,10877-0203,9100,"15 PRATT ST
FRAMINGHAM, MA
(42.272679, -71.415562)"
1,128-86-8412-201,79,CONCORD ST,1,4,1,MID RISE,1900,63300,0,0,0,771,771,63300,05/23/2006,1,47490-69,,"79 CONCORD ST
FRAMINGHAM, MA
(42.278264, -71.416768)"
1,111-70-0815-000,15,CLOVELLY LN,1,6,3,CAPE,1950,224600,5300,152900,0.1848,1680,3017,382800,08/30/2012,355000,59886-429,5500,"15 CLOVELLY LN
FRAMINGHAM, MA
(42.290593, -71.422973)"
1,120-68-9335-000,236,FRANKLIN ST,5,10,0,4-8 FAMILY,1907,191600,0,152400,0.16382,2518.75,3705,344000,12/15/2005,1,46662-526,4000,"236 FRANKLIN ST
FRAMINGHAM, MA
(42.283765, -71.423031)"
1,134-74-9348-000,52,HAYES ST,2,12,5,MULTI-FAM,1887,176900,0,103900,0.16988,2515,4059,280800,01/01/1987,137500,17753-610,9000,"52 HAYES ST
FRAMINGHAM, MA
(42.272743, -71.419839)"
1,135-84-3743-182,180,HOLLIS ST,1,5,3,TOWNHOUSE,1930,107400,0,0,0,1000,1011,107400,12/31/2008,100,52036-195,,"180 HOLLIS ST
FRAMINGHAM, MA
(42.273649, -71.418284)"
1,141-83-6597-000,59,WAUSHAKUM ST,2,10,4,MULTI-FAM,1900,163600,3100,103200,0.13338,1986,3453,269900,08/09/2000,195000,31698-32,2200,"59 WAUSHAKUM ST
FRAMINGHAM, MA
(42.270631, -71.416598)"
1,135-94-4468-000,41,ALEXANDER ST,1,5,2,CONVENT`NL,1880,135800,9700,105100,0.23214,1616,2731,250600,09/30/2009,225000,53609-540,2925,"41 ALEXANDER ST
FRAMINGHAM, MA
(42.272755, -71.413655)"
1,135-84-4855-000,170,HOLLIS ST,NULL,NULL,NULL,NULL,NULL,0,0,29400,0.35514,0,0,29400,03/14/1991,110000,21047-207,,"170 HOLLIS ST
FRAMINGHAM, MA
(42.274212, -71.418045)"
1,127-77-6628-000,156,FRANKLIN ST,1,7,4,CONVENT`NL,1907,135200,0,151300,0.12268,1537,3234,286500,07/25/2012,184900,59599-133,4000,"156 FRANKLIN ST
FRAMINGHAM, MA
(42.281832, -71.420526)"
1,140-73-6488-000,21,WINTHROP ST,5,23,10,4-8 FAMILY,1910,305100,0,98500,0.1837,3084,5232,403600,12/13/2012,450000,60723-358,3000,"21 WINTHROP ST
FRAMINGHAM, MA
(42.269948, -71.420423)"
1,141-93-2840-000,99,ALEXANDER ST,2,10,4,MULTI-FAM,1912,141400,0,102800,0.11451,2346,5074,244200,11/28/2006,100,48561-169,3500,"99 ALEXANDER ST
FRAMINGHAM, MA
(42.270897, -71.414562)"
1,134-75-6084-000,66,CLAFLIN ST,4,7,3,CONVENT`NL,1927,357700,0,104400,0.19961,4192,6240,462100,03/07/1996,1,26114-168,115000,"66 CLAFLIN ST
FRAMINGHAM, MA
(42.274659, -71.420477)"
1,135-95-3636-000,36,SOUTH ST,3,15,6,MULTI-FAM,1910,203200,0,102300,0.08981,3160,4990,305500,12/12/2014,280000,64649-112,9400,"36 SOUTH ST
FRAMINGHAM, MA
(42.275946, -71.414528)"
1,101-62-4990-000,217,WALNUT ST,1,8,4,CONVENT`NL,1897,172600,4800,158900,0.41322,2208,2881,336300,06/04/2002,1,35611-571,3300,"217 WALNUT ST
FRAMINGHAM, MA
(42.295808, -71.425107)"
1,111-60-7675-000,6,WARREN RD,1,7,4,CONVENT`NL,1912,238100,7100,155100,0.26949,2204,4730,400300,09/24/2002,383000,36497-330,18100,"6 WARREN RD
FRAMINGHAM, MA
(42.28964, -71.423776)"
1,135-95-1913-000,380,WAVERLEY ST,NULL,NULL,NULL,NULL,NULL,0,0,156300,0.426,0,0,156300,07/30/2007,100,49859-247,60000,"380 WAVERLEY ST
FRAMINGHAM, MA
(42.27713, -71.415259)"
1,120-69-0995-000,385,FRANKLIN ST,2,9,5,MULTI-TNHS,1950,161800,900,153100,0.18939,1870,3844,315800,03/24/1975,1,12772-60,31886,"385 FRANKLIN ST
FRAMINGHAM, MA
(42.287712, -71.426389)"
1,101-73-5161-000,29,STONYBROOK RD,1,8,4,COLONIAL,1937,204200,0,154300,0.23875,2507,4273,358500,08/30/1999,195000,30598-424,8600,"29 STONYBROOK RD
FRAMINGHAM, MA
(42.296578, -71.420595)"
1,134-74-4353-000,56,PINE ST,2,6,3,MULTI-FAM,1902,131900,0,102400,0.09036,1430,2721,234300,08/05/2002,1,36052-575,3000,"56 PINE ST
FRAMINGHAM, MA
(42.272666, -71.421327)"
1,135-85-9066-000,38,GORDON ST,4,12,4,4-8 FAMILY,1890,229400,1200,103000,0.12199,3279,5306,333600,08/29/2014,350000,64165-372,1250,"38 GORDON ST
FRAMINGHAM, MA
(42.274311, -71.415854)"
1,134-74-5568-000,41,HIGHLAND ST,2,7,3,MULTI-FAM,1882,118400,1400,102500,0.09642,1760,2986,222300,05/31/1994,74000,24578-430,,"41 HIGHLAND ST
FRAMINGHAM, MA
(42.273109, -71.420714)"
1,111-50-6594-203,475,FRANKLIN ST,1,3,0,CONDO-OFC,1967,94400,0,0,0,545,545,94400,06/01/1986,72138,17078-270,,"475 FRANKLIN ST
FRAMINGHAM, MA
(42.289267, -71.428213)"
1,111-61-6401-000,98,WALNUT ST,1,8,4,CONVENT`NL,1922,156200,1900,153700,0.21584,1820,2939,311800,12/11/2012,10,60704-472,15000,"98 WALNUT ST
FRAMINGHAM, MA
(42.291886, -71.424217)"
1,111-50-6594-210,475,FRANKLIN ST,1,1,0,CONDO-OFC,1967,93600,0,0,0,540,540,93600,03/01/1989,85000,19689-152,,"475 FRANKLIN ST
FRAMINGHAM, MA
(42.289267, -71.428213)"
2,140-73-8745-000,12,CHARLES ST,1,NULL,NULL,WAREHOUSE,1900,109000,18200,108700,0.42146,2246,3316,235900,08/24/2009,1,53425-590,,"12 CHARLES ST
FRAMINGHAM, MA
(42.271389, -71.419972)"
1,134-74-8148-000,18,PINE ST,4,10,6,MULTI-FAM,1917,385600,0,107000,0.33191,4484,6774,492600,08/08/2005,10,45815-343,,"18 PINE ST
FRAMINGHAM, MA
(42.272381, -71.419774)"
1,120-69-6089-000,7,LINDEN ST,1,6,3,GARRISON,1954,155200,0,154000,0.22452,1828,3084,309200,04/02/2002,1,35188-506,6250,"7 LINDEN ST
FRAMINGHAM, MA
(42.285822, -71.42427)"
1,140-73-5956-000,38,CHARLES ST,2,11,5,MULTI-FAM,1897,147700,0,103400,0.14488,2575,5140,251100,08/14/1992,110000,22292-0513,6500,"38 CHARLES ST
FRAMINGHAM, MA
(42.271657, -71.420921)"
1,111-61-2465-000,27,BUCKMINSTER ST,NULL,NULL,NULL,NULL,NULL,0,0,1800,0.13774,0,0,1800,08/27/2015,420000,65986-301,,"27 BUCKMINSTER ST
FRAMINGHAM, MA
(42.29185, -71.425683)"
1,135-84-3743-180,180,HOLLIS ST,1,5,3,TOWNHOUSE,1930,107500,0,0,0,1000,1033,107500,12/31/2008,100,52036-193,,"180 HOLLIS ST
FRAMINGHAM, MA
(42.273649, -71.418284)"
1,134-74-5436-000,51,HIGHLAND ST,1,7,3,CONVENT`NL,1887,138300,0,102500,0.09642,1464,3244,240800,11/04/2013,216000,62882-59,3000,"51 HIGHLAND ST
FRAMINGHAM, MA
(42.272759, -71.42083)"
1,127-77-9814-000,158,UNION AVE,0,NULL,NULL,OFFICE,1950,278100,8000,138000,0.18099,2527,3310,424100,01/15/2004,395000,41781-292,5000,"158 UNION AVE
FRAMINGHAM, MA
(42.282298, -71.419401)"
1,128-96-2766-000,39,FREDERICK ST,6,24,12,4-8 FAMILY,2014,747400,0,113500,0.12215,5268,7024,860900,12/07/2010,705000,56002-322,,"39 FREDERICK ST
FRAMINGHAM, MA
(42.279328, -71.414572)"
1,135-85-8154-000,28,GORDON ST,NULL,NULL,NULL,NULL,NULL,0,10200,120900,0.17431,0,0,131100,09/01/2000,625000,31786-26,,"28 GORDON ST
FRAMINGHAM, MA
(42.274541, -71.416261)"
1,120-78-0446-000,3,DELOSS ST,4,12,4,4-8 FAMILY,1937,172300,6200,151700,0.13623,2564,4368,330200,02/03/2005,1,44589-410,10600,"3 DELOSS ST
FRAMINGHAM, MA
(42.283972, -71.422931)"
1,120-69-8619-000,326,UNION AVE,0,NULL,NULL,OFFICE-PRO,1900,245000,8700,172100,0.38999,3382,5002,425800,06/25/2002,370000,35755-430,3000,"326 UNION AVE
FRAMINGHAM, MA
(42.287436, -71.423408)"
2,111-61-0377-000,467,UNION AVE,0,NULL,NULL,STORE,1927,170800,0,127500,0.11621,3400,5200,298300,05/18/2007,295000,49469-337,,"467 UNION AVE
FRAMINGHAM, MA
(42.291683, -71.426633)"
1,128-96-0422-000,43,KENDALL ST,0,NULL,NULL,STORE,1925,777300,2300,132900,0.25785,18601,18601,912500,03/24/1970,1,11812-0610,,"43 KENDALL ST
FRAMINGHAM, MA
(42.278419, -71.415559)"
1,135-85-3003-005,141,HOLLIS ST,1,3,0,DECKER,1907,41500,0,0,0,355,355,41500,07/19/2010,1,55005-416,,"141 HOLLIS ST
FRAMINGHAM, MA
(42.274416, -71.417886)"
1,135-94-5628-000,25,ALEXANDER ST,3,10,4,MULTI-FAM,1880,347500,10300,108700,0.42247,2988,6248,466500,10/09/1992,1,22481-0023,5300,"25 ALEXANDER ST
FRAMINGHAM, MA
(42.273327, -71.413373)"
1,128-96-4266-000,155,HOWARD ST,NULL,NULL,NULL,NULL,NULL,0,0,122200,0.18338,0,0,122200,12/15/2015,1,66527-63,3000,"155 HOWARD ST
FRAMINGHAM, MA
(42.27792, -71.413931)"
1,121-98-1114-000,13,OLIVER ST,1,9,4,CONVENT`NL,1912,177000,4900,155100,0.26653,2446,5312,337000,11/30/1973,1,12560-0037,,"13 OLIVER ST
FRAMINGHAM, MA
(42.282734, -71.415308)"
1,134-74-1596-000,73,CEDAR ST,1,6,3,CONVENT`NL,1920,124200,1100,105700,0.2649,1250,2800,231000,06/30/2000,125000,31572-86,,"73 CEDAR ST
FRAMINGHAM, MA
(42.273133, -71.421693)"
1,135-85-7541-000,30,HOLLIS ST,0,NULL,NULL,CHURCH/SYN,1900,602800,0,110800,0.10436,6912,6912,713600,07/12/1996,230000,26487-536,17053,"30 HOLLIS ST
FRAMINGHAM, MA
(42.27587, -71.416826)"
1,111-70-1715-000,34,WARREN RD,1,6,3,CONVENT`NL,1925,129500,6600,152900,0.1848,1595,3334,289000,08/12/2005,389000,45846-435,24000,"34 WARREN RD
FRAMINGHAM, MA
(42.289929, -71.422487)"
1,141-83-8880-000,35,EAMES ST,2,9,4,OT MFAM,1907,170000,0,102800,0.11111,2422.5,3798,272800,01/27/2009,100,52137-419,,"35 EAMES ST
FRAMINGHAM, MA
(42.271231, -71.415924)"
1,128-87-7570-000,11,THOMPSON ST,1,12,5,COLONIAL,1867,176900,3700,152800,0.1792,3075,5032,333400,06/01/1999,150000,30241-526,,"11 THOMPSON ST
FRAMINGHAM, MA
(42.281334, -71.416676)"
1,141-83-8436-000,75,WAUSHAKUM ST,2,10,6,MULTI-FAM,1920,152100,7100,103400,0.14412,1994,3527,262600,11/16/2011,147155,57874-54,7000,"75 WAUSHAKUM ST
FRAMINGHAM, MA
(42.270337, -71.416111)"
1,135-95-3662-000,40,SOUTH ST,3,13,8,MULTI-FAM,1890,206400,1100,102600,0.1036,2798,4882,310100,08/18/2008,190000,51582-265,,"40 SOUTH ST
FRAMINGHAM, MA
(42.275852, -71.414418)"
1,120-69-4613-000,4,OTIS ST,1,8,3,GAMBREL,1930,157800,7200,154700,0.25335,1794,3248,319700,06/18/1996,103500,26411-0473,67600,"4 OTIS ST
FRAMINGHAM, MA
(42.286863, -71.425084)"
1,111-61-7990-000,143,WALNUT ST,2,8,4,MULTI-TNHS,1981,195000,0,153700,0.21279,1920,3156,348700,06/17/2011,315000,57005-415,10000,"143 WALNUT ST
FRAMINGHAM, MA
(42.293341, -71.423988)"
1,134-74-9901-000,9,HAYES ST,2,12,5,MULTI-FAM,1892,209500,0,104100,0.18271,3314.5,5288,313600,07/21/2003,425000,40043-54,3300,"9 HAYES ST
FRAMINGHAM, MA
(42.27402, -71.419423)"
1,120-78-2753-000,28,DELOSS ST,3,15,8,MULTI-FAM,1900,203800,0,152200,0.15611,4077,7458,356000,03/25/2013,325000,61462-202,2000,"28 DELOSS ST
FRAMINGHAM, MA
(42.284392, -71.422004)"
3,134-74-9052-000,11,CHARLES ST,3,5,2,CONVENT`NL,1917,314500,7500,106700,0.31488,3619,5930,428700,05/05/2000,288000,31381-282,,"11 CHARLES ST
FRAMINGHAM, MA
(42.271279, -71.41958)"
1,140-73-6914-000,34,CHARLES ST,1,6,3,CONVENT`NL,1882,127400,4400,102300,0.08512,1829.5,2972,234100,05/31/2007,320000,49534-345,500,"34 CHARLES ST
FRAMINGHAM, MA
(42.271608, -71.420722)"
