Candidate,Precinct,Votes,Race,Year,Election
Mark S. Tilden,6,21,Mayor,2017,Preliminary
Yvonne M. Spicer,6,550,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",6,10,Mayor,2017,Preliminary
Priscila Sousa,6,30,Mayor,2017,Preliminary
Write-Ins,6,4,Mayor,2017,Preliminary
Blanks,7,3,Mayor,2017,Preliminary
Joshua Paul Horrigan,7,32,Mayor,2017,Preliminary
John A. Stefanini,7,191,Mayor,2017,Preliminary
Dhruba P. Sen,7,12,Mayor,2017,Preliminary
Mark S. Tilden,7,41,Mayor,2017,Preliminary
Yvonne M. Spicer,7,458,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",7,8,Mayor,2017,Preliminary
Priscila Sousa,7,26,Mayor,2017,Preliminary
Write-Ins,7,4,Mayor,2017,Preliminary
Blanks,8,6,Mayor,2017,Preliminary
Joshua Paul Horrigan,8,73,Mayor,2017,Preliminary
John A. Stefanini,8,190,Mayor,2017,Preliminary
Dhruba P. Sen,8,10,Mayor,2017,Preliminary
Mark S. Tilden,8,34,Mayor,2017,Preliminary
Yvonne M. Spicer,8,444,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",8,12,Mayor,2017,Preliminary
Priscila Sousa,8,36,Mayor,2017,Preliminary
Write-Ins,8,1,Mayor,2017,Preliminary
Blanks,9,2,Mayor,2017,Preliminary
Joshua Paul Horrigan,9,22,Mayor,2017,Preliminary
John A. Stefanini,9,118,Mayor,2017,Preliminary
Dhruba P. Sen,9,2,Mayor,2017,Preliminary
Mark S. Tilden,9,13,Mayor,2017,Preliminary
Yvonne M. Spicer,9,252,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",9,4,Mayor,2017,Preliminary
Priscila Sousa,9,25,Mayor,2017,Preliminary
Write-Ins,9,3,Mayor,2017,Preliminary
Blanks,10,3,Mayor,2017,Preliminary
Joshua Paul Horrigan,10,12,Mayor,2017,Preliminary
John A. Stefanini,10,61,Mayor,2017,Preliminary
Dhruba P. Sen,10,11,Mayor,2017,Preliminary
Mark S. Tilden,10,8,Mayor,2017,Preliminary
Yvonne M. Spicer,10,152,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",10,1,Mayor,2017,Preliminary
Priscila Sousa,10,14,Mayor,2017,Preliminary
Write-Ins,10,1,Mayor,2017,Preliminary
Blanks,11,5,Mayor,2017,Preliminary
Joshua Paul Horrigan,11,26,Mayor,2017,Preliminary
John A. Stefanini,11,373,Mayor,2017,Preliminary
Dhruba P. Sen,11,9,Mayor,2017,Preliminary
Mark S. Tilden,11,40,Mayor,2017,Preliminary
Yvonne M. Spicer,11,523,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",11,28,Mayor,2017,Preliminary
Priscila Sousa,11,41,Mayor,2017,Preliminary
Write-Ins,11,0,Mayor,2017,Preliminary
Blanks,12,2,Mayor,2017,Preliminary
Joshua Paul Horrigan,12,14,Mayor,2017,Preliminary
John A. Stefanini,12,102,Mayor,2017,Preliminary
Dhruba P. Sen,12,2,Mayor,2017,Preliminary
Mark S. Tilden,12,15,Mayor,2017,Preliminary
Yvonne M. Spicer,12,218,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",12,3,Mayor,2017,Preliminary
Priscila Sousa,12,31,Mayor,2017,Preliminary
Write-Ins,12,0,Mayor,2017,Preliminary
Blanks,13,1,Mayor,2017,Preliminary
Joshua Paul Horrigan,13,22,Mayor,2017,Preliminary
John A. Stefanini,13,151,Mayor,2017,Preliminary
Dhruba P. Sen,13,3,Mayor,2017,Preliminary
Mark S. Tilden,13,21,Mayor,2017,Preliminary
Yvonne M. Spicer,13,276,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",13,4,Mayor,2017,Preliminary
Priscila Sousa,13,47,Mayor,2017,Preliminary
Write-Ins,13,0,Mayor,2017,Preliminary
Blanks,14,3,Mayor,2017,Preliminary
Joshua Paul Horrigan,14,22,Mayor,2017,Preliminary
John A. Stefanini,14,67,Mayor,2017,Preliminary
Dhruba P. Sen,14,2,Mayor,2017,Preliminary
Mark S. Tilden,14,9,Mayor,2017,Preliminary
Yvonne M. Spicer,14,137,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",14,3,Mayor,2017,Preliminary
Priscila Sousa,14,38,Mayor,2017,Preliminary
Write-Ins,14,4,Mayor,2017,Preliminary
Blanks,15,0,Mayor,2017,Preliminary
Joshua Paul Horrigan,15,25,Mayor,2017,Preliminary
John A. Stefanini,15,180,Mayor,2017,Preliminary
Dhruba P. Sen,15,6,Mayor,2017,Preliminary
Mark S. Tilden,15,6,Mayor,2017,Preliminary
Yvonne M. Spicer,15,146,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",15,3,Mayor,2017,Preliminary
Priscila Sousa,15,43,Mayor,2017,Preliminary
Write-Ins,15,0,Mayor,2017,Preliminary
Blanks,16,0,Mayor,2017,Preliminary
Joshua Paul Horrigan,16,16,Mayor,2017,Preliminary
John A. Stefanini,16,50,Mayor,2017,Preliminary
Dhruba P. Sen,16,2,Mayor,2017,Preliminary
Mark S. Tilden,16,6,Mayor,2017,Preliminary
Yvonne M. Spicer,16,67,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",16,3,Mayor,2017,Preliminary
Priscila Sousa,16,19,Mayor,2017,Preliminary
Write-Ins,16,1,Mayor,2017,Preliminary
Blanks,17,0,Mayor,2017,Preliminary
Joshua Paul Horrigan,17,32,Mayor,2017,Preliminary
John A. Stefanini,17,33,Mayor,2017,Preliminary
Dhruba P. Sen,17,3,Mayor,2017,Preliminary
Mark S. Tilden,17,1,Mayor,2017,Preliminary
Yvonne M. Spicer,17,51,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",17,1,Mayor,2017,Preliminary
Priscila Sousa,17,11,Mayor,2017,Preliminary
Write-Ins,17,0,Mayor,2017,Preliminary
Blanks,18,2,Mayor,2017,Preliminary
Joshua Paul Horrigan,18,27,Mayor,2017,Preliminary
John A. Stefanini,18,138,Mayor,2017,Preliminary
Dhruba P. Sen,18,9,Mayor,2017,Preliminary
Mark S. Tilden,18,4,Mayor,2017,Preliminary
Yvonne M. Spicer,18,128,Mayor,2017,Preliminary
"Benjaman A. Neves-Grigg,",18,2,Mayor,2017,Preliminary
Priscila Sousa,18,36,Mayor,2017,Preliminary
Write-Ins,18,0,Mayor,2017,Preliminary
